Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603,97.5,-211.2502,180.0,top
C10,10nF,C_0805,76.5,-217.0,-90.0,top
C11,4.7uF,C_0603,91.5,-218.2502,-90.0,top
C12,100nF,C_0402,94.5,-225.5,180.0,top
C13,100nF,C_0402,96.5,-228.5,90.0,top
C14,100nF,C_0402,82.0,-229.5,90.0,top
C15,4.7uF,C_0603,103.0,-214.5,90.0,top
C16,4.7uF,C_0603,64.0,-211.5,180.0,top
C17,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,84.0,-223.5,180.0,top
C18,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,99.0,-223.0,180.0,top
C19,1uF,C_0603,61.0,-234.5,180.0,top
C2,1uF,C_0603,98.5,-232.0,180.0,top
C20,100nF,C_0402,80.0,-226.5,180.0,top
C21,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,91.0,-223.0,180.0,top
C22,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,77.0,-222.5,180.0,top
C25,2.2uF,C_0402,105.0,-214.5,-90.0,top
C26,2.2uF,C_0402,76.5,-214.0,90.0,top
C3,1uF,C_0603,95.0,-237.0,90.0,top
C4,4.7uF,C_0603,99.0,-213.7502,90.0,top
C5,1uF,C_0603,107.5,-239.0,180.0,top
C6,1uF,C_0603,107.5,-233.0,180.0,top
C9,10nF,C_0805,103.35,-210.5,90.0,top
D1,SS34,D_SMA,102.5,-232.0,-90.0,top
J1,Conn_01x02_Pin,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,109.0,-252.95,0.0,top
J2,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,90.77,-243.73,-90.0,top
L1,4.7uH,IND-SMD_L2.5-W2.0-VLS252012CX-150M,102.0,-237.0,0.0,top
R1,3.3kΩ,R_0603,87.0,-238.5,180.0,top
R10,3.3kΩ,R_0603,94.0,-211.2502,0.0,top
R12,10kΩ,R_0603,90.5,-228.5,90.0,top
R13,1Ω,R_1206,115.5,-217.0,90.0,top
R14,1Ω,R_1206,115.5,-211.5,-90.0,top
R15,10kΩ,R_0603,91.5,-214.7502,90.0,top
R16,1.5kΩ,R_0603,98.5,-217.2502,0.0,top
R17,1.5kΩ,R_0603,84.5,-217.5,180.0,top
R18,3kΩ,R_0603,80.5,-215.0,90.0,top
R19,1.5kΩ,R_0603,81.5,-217.5,180.0,top
R2,3.3kΩ,R_0603,87.0,-237.0,180.0,top
R20,300Ω,R_0805,87.5,-212.0,0.0,top
R22,75kΩ,R_0603,61.5,-237.82,-90.0,top
R23,10kΩ,R_0603,76.0,-230.0,90.0,top
R3,430m,R1206,63.0,-217.0,90.0,top
R4,430m,R1206,66.0,-208.5,180.0,top
R5,3kΩ,R_0603,95.8299,-233.5,-90.0,top
R6,2.2kΩ,R_0603,91.5,-211.7502,90.0,top
R9,9.1kΩ,R_0603,98.3299,-234.0,180.0,top
R_SHUNT1,0.02,R1206,91.0,-235.0,-90.0,top
U1,MT3608,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,98.5,-237.0,90.0,top
U10,HX SS12D10G6-WJ,SW-TH_3P-P4.80_HX-SS12D10G6-WJ,90.4999,-249.2865,0.0,top
U11,HUSB237-AA001-DN06R,TDFN-6_L2.0-W2.0-P0.65-TL-EP,64.35,-237.0,-90.0,top
U2,INA219AxD,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,87.0,-234.5,180.0,top
U3,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,70.5,-214.4999,-90.0,top
U4,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,107.5,-236.0,180.0,top
U5,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,109.5001,-213.6751,90.0,top
U6,BQ24074RGT,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,95.5,-214.5,0.0,top
U7,AP2171W,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BL,79.5,-229.5,180.0,top
U8,AP2171W,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BL,93.5,-228.5,180.0,top
U9,FSW3157YSOT363G/TR,SOT-363_L2.1-W1.3-P0.65-LS2.1-BL,84.0,-214.5,0.0,top
USB1,TYPE-C 6P(073),TYPE-C-SMD_TYPE-C-6P_5,64.8001,-243.18775,0.0,top
